"08:57:07.517 -> IR=115258, BPM=88.24, Avg BPM=88"
"08:57:07.538 -> IR=115280, BPM=88.24, Avg BPM=88"
"08:57:07.558 -> IR=115282, BPM=88.24, Avg BPM=88"
"08:57:07.579 -> IR=115296, BPM=88.24, Avg BPM=88"
"08:57:07.597 -> IR=115293, BPM=88.24, Avg BPM=88"
"08:57:07.618 -> IR=115280, BPM=88.24, Avg BPM=88"
"08:57:07.638 -> IR=115277, BPM=88.24, Avg BPM=88"
"08:57:07.658 -> IR=115286, BPM=88.24, Avg BPM=88"
"08:57:07.678 -> IR=115291, BPM=88.24, Avg BPM=88"
"08:57:07.698 -> IR=115312, BPM=88.24, Avg BPM=88"
"08:57:07.718 -> IR=115313, BPM=88.24, Avg BPM=88"
"08:57:07.738 -> IR=115318, BPM=88.24, Avg BPM=88"
"08:57:07.758 -> IR=115327, BPM=99.83, Avg BPM=90"
"08:57:07.779 -> IR=115332, BPM=99.83, Avg BPM=90"
"08:57:07.811 -> IR=115340, BPM=99.83, Avg BPM=90"
"08:57:07.830 -> IR=115342, BPM=99.83, Avg BPM=90"
"08:57:07.846 -> IR=115358, BPM=99.83, Avg BPM=90"
"08:57:07.863 -> IR=115371, BPM=99.83, Avg BPM=90"
"08:57:07.878 -> IR=115367, BPM=99.83, Avg BPM=90"
"08:57:07.898 -> IR=115362, BPM=99.83, Avg BPM=90"
"08:57:07.917 -> IR=115361, BPM=99.83, Avg BPM=90"
"08:57:07.938 -> IR=115364, BPM=99.83, Avg BPM=90"
"08:57:07.958 -> IR=115337, BPM=99.83, Avg BPM=90"
"08:57:07.979 -> IR=115099, BPM=99.83, Avg BPM=90"
"08:57:07.997 -> IR=114848, BPM=99.83, Avg BPM=90"
"08:57:08.019 -> IR=114741, BPM=99.83, Avg BPM=90"
"08:57:08.038 -> IR=114782, BPM=99.83, Avg BPM=90"
"08:57:08.059 -> IR=114863, BPM=99.83, Avg BPM=90"
"08:57:08.078 -> IR=114947, BPM=99.83, Avg BPM=90"
"08:57:08.098 -> IR=115042, BPM=99.83, Avg BPM=90"
"08:57:08.118 -> IR=115124, BPM=99.83, Avg BPM=90"
"08:57:08.138 -> IR=115208, BPM=99.83, Avg BPM=90"
